folder,image_name,num_detections,inference_time_ms
1,img000375.jpg,24,2120.24
10,img008377.jpg,95,35.52
11,img008646.jpg,31,30.79
12,img009245.jpg,60,31.6
13,img009717.jpg,12,30.47
14,img010278.jpg,44,30.43
15,img010673.jpg,41,29.95
16,img010844.jpg,80,31.12
18,img011391.jpg,51,29.73
19,img011698.jpg,41,30.89
2,img001484.jpg,146,33.02
20,img011977.jpg,21,30.62
21,img012141.jpg,22,29.62
22,img012462.jpg,77,31.03
23,img012681.jpg,51,29.97
24,img013055.jpg,16,28.5
25,img013411.jpg,104,31.15
26,img013574.jpg,8,30.44
27,img014067.jpg,18,29.44
28,img014449.jpg,51,29.92
29,img014678.jpg,93,30.2
3,img002756.jpg,20,29.65
30,img014932.jpg,116,30.62
31,img014961.jpg,70,28.4
32,img014967.jpg,52,28.61
33,img014975.jpg,23,28.55
34,img014986.jpg,12,28.98
35,img014997.jpg,52,28.91
36,img015006.jpg,15,28.74
37,img015022.jpg,9,27.79
38,img015033.jpg,10,29.81
39,img015044.jpg,27,28.75
4,img002964.jpg,22,28.59
40,img015059.jpg,41,30.15
41,img015088.jpg,62,30.74
42,img015139.jpg,154,29.77
43,img015244.jpg,19,29.06
44,img015253.jpg,29,30.48
45,img015261.jpg,73,30.03
46,img015274.jpg,71,30.57
47,img015280.jpg,76,28.78
48,img015293.jpg,42,29.98
49,img015304.jpg,55,30.42
5,img003115.jpg,27,29.2
50,img015316.jpg,44,29.33
51,img015325.jpg,124,30.34
52,img015334.jpg,18,31.17
53,img015374.jpg,91,30.72
54,img015412.jpg,89,30.38
55,img015450.jpg,71,30.13
56,img015461.jpg,49,29.83
57,img015480.jpg,115,31.46
58,img015514.jpg,69,29.47
59,img015534.jpg,99,29.22
6,img004120.jpg,30,30.77
60,img015557.jpg,34,28.12
61,img015574.jpg,21,30.21
62,img015586.jpg,9,29.44
63,img015735.jpg,10,34.47
64,img015876.jpg,26,28.92
65,img015954.jpg,17,28.23
66-2,img015985.jpg,11,28.05
67-2,img016053.jpg,18,29.47
68-2,img016156.jpg,26,28.69
69-2,img016248.jpg,31,30.37
7,img006218.jpg,66,30.13
7-2,img011163.jpg,59,28.35
8,img007189.jpg,10,31.08
9,img007676.jpg,82,30.34
